# Метеостанция Нижний Новгород / Нагорный, Россия, WMO_ID=27562, выборка с 16.06.2017 по 16.06.2018, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru 
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/archive.php?wmo_id=27562&lang=ru
#
"Местное время в Нижнем Новгороде / Нагорном";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.02.2018 00:00";"-14.6";"756.2";"769.6";"";"84";"Ветер, дующий с северо-северо-востока";"1";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.7";"";"";"";"";"";"";
"24.02.2018 21:00";"-13.0";"756.4";"769.7";"";"76";"Ветер, дующий с севера";"2";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.4";"";"";"";"";"";"";
"24.02.2018 18:00";"-12.5";"756.4";"769.6";"";"68";"Ветер, дующий с северо-запада";"2";"3";"5";"";" ";"";"";"";"-9.2";"";"";"";"";"";"";"-17.3";"Осадков нет";"12";"";"";"";"";
"24.02.2018 15:00";"-10.3";"756.4";"769.5";"";"60";"Ветер, дующий с северо-запада";"2";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.6";"";"";"";"";"";"";
"24.02.2018 12:00";"-11.5";"756.5";"769.6";"";"72";"Ветер, дующий с западо-северо-запада";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.6";"";"";"";"";"";"";
"24.02.2018 09:00";"-15.5";"756.3";"769.6";"";"84";"Ветер, дующий с западо-северо-запада";"1";"2";"3";"";" ";"";"";"-18.1";"";"";"";"";"";"";"";"-17.6";"";"";"";"";"";"";
"24.02.2018 06:00";"-16.6";"755.6";"769.0";"";"83";"Ветер, дующий с западо-северо-запада";"2";"3";"4";"";" ";"";"";"-17.5";"";"";"";"";"";"";"";"-18.8";"Осадков нет";"12";"";"";"";"";
"24.02.2018 03:00";"-15.7";"755.5";"768.8";"";"85";"Ветер, дующий с западо-северо-запада";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.7";"";"";"";"";"";"";
"24.02.2018 00:00";"-14.8";"755.3";"768.7";"";"83";"Ветер, дующий с запада";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.0";"";"";"";"";"";"";
"23.02.2018 21:00";"-12.7";"755.4";"768.6";"";"75";"Ветер, дующий с запада";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.2";"";"";"";"";"";"";
"23.02.2018 18:00";"-11.1";"755.3";"768.4";"";"70";"Ветер, дующий с запада";"2";"3";"6";"";" ";"";"";"";"-8.5";"";"";"";"";"";"";"-15.6";"Осадков нет";"12";"";"";"";"";
"23.02.2018 15:00";"-9.7";"755.6";"768.7";"";"61";"Ветер, дующий с западо-юго-запада";"3";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.9";"";"";"";"";"";"";
"23.02.2018 12:00";"-9.9";"756.1";"769.1";"";"63";"Ветер, дующий с запада";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.6";"";"";"";"";"";"";
"23.02.2018 09:00";"-16.7";"756.1";"769.6";"";"82";"Ветер, дующий с запада";"3";"4";"5";"";" ";"";"";"-19.5";"";"";"";"";"";"";"";"-19.1";"";"";"";"";"";"";
"23.02.2018 06:00";"-19.3";"756.1";"769.6";"";"81";"Ветер, дующий с запада";"3";"3";"4";"";" ";"";"";"-18.0";"";"";"";"";"";"";"";"-21.8";"Осадков нет";"12";"";"";"";"";
"23.02.2018 03:00";"-16.8";"756.2";"769.6";"";"83";"Ветер, дующий с западо-северо-запада";"3";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-19.0";"";"";"";"";"";"";
"23.02.2018 00:00";"-15.3";"756.0";"769.3";"";"83";"Ветер, дующий с северо-запада";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.6";"";"";"";"";"";"";
"22.02.2018 21:00";"-14.5";"755.7";"769.0";"";"80";"Ветер, дующий с западо-северо-запада";"2";"3";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.2";"";"";"";"";"";"";
"22.02.2018 18:00";"-13.7";"755.1";"768.4";"";"72";"Ветер, дующий с северо-запада";"2";"3";"7";"";" ";"";"";"";"-11.4";"";"";"";"";"";"";"-17.7";"Осадков нет";"12";"";"";"";"";
"22.02.2018 15:00";"-12.0";"754.7";"767.8";"";"66";"Ветер, дующий с северо-запада";"4";"7";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.1";"";"";"";"";"";"";
"22.02.2018 12:00";"-13.0";"754.4";"767.6";"";"70";"Ветер, дующий с западо-северо-запада";"3";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.4";"";"";"";"";"";"";
"22.02.2018 09:00";"-17.3";"754.0";"767.5";"";"82";"Ветер, дующий с запада";"2";"2";"4";"";" ";"";"";"-18.4";"";"";"";"";"";"";"";"-19.7";"";"";"";"";"";"";
"22.02.2018 06:00";"-17.5";"753.5";"766.9";"";"83";"Ветер, дующий с западо-северо-запада";"2";"3";"4";"";" ";"";"";"-17.4";"";"";"";"";"";"";"";"-19.7";"Осадков нет";"12";"";"";"";"";
"22.02.2018 03:00";"-15.8";"753.2";"766.6";"";"85";"Ветер, дующий с запада";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-17.7";"";"";"";"";"";"";
"22.02.2018 00:00";"-13.9";"752.8";"766.0";"";"82";"Ветер, дующий с западо-северо-запада";"3";"6";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.3";"";"";"";"";"";"";
"21.02.2018 21:00";"-12.7";"752.1";"765.2";"";"83";"Ветер, дующий с западо-северо-запада";"3";"6";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.0";"";"";"";"";"";"";
"21.02.2018 18:00";"-11.8";"751.3";"764.5";"";"75";"Ветер, дующий с запада";"3";"7";"10";"";" ";"";"";"";"-10.1";"";"";"";"";"";"";"-15.4";"Осадков нет";"12";"";"";"";"";
"21.02.2018 15:00";"-10.4";"750.5";"763.5";"";"73";"Ветер, дующий с запада";"4";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.4";"";"";"";"";"";"";
"21.02.2018 12:00";"-11.6";"749.8";"762.9";"";"74";"Ветер, дующий с запада";"3";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.3";"";"";"";"";"";"";
"21.02.2018 09:00";"-12.5";"749.3";"762.4";"";"80";"Ветер, дующий с запада";"3";"6";"7";"";" ";"";"";"-12.7";"";"";"";"";"";"";"";"-15.3";"";"";"";"";"";"";
"21.02.2018 06:00";"-11.8";"748.9";"761.9";"";"85";"Ветер, дующий с запада";"3";"7";"7";"";" ";"";"";"-11.8";"";"";"";"";"";"";"";"-13.9";"Осадков нет";"12";"";"";"";"";
"21.02.2018 03:00";"-9.9";"748.7";"761.7";"";"86";"Ветер, дующий с запада";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.8";"";"";"";"";"";"";
"21.02.2018 00:00";"-9.5";"748.3";"761.2";"";"88";"Ветер, дующий с запада";"3";"6";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"20.02.2018 21:00";"-7.8";"748.3";"761.2";"";"87";"Ветер, дующий с западо-северо-запада";"3";"6";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.6";"";"";"";"";"";"";
"20.02.2018 00:00";"-6.0";"748.9";"761.7";"";"86";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.0";"";"";"";"";"";"";
"19.02.2018 21:00";"-6.1";"749.7";"762.4";"";"84";"Ветер, дующий с юга";"1";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.4";"";"";"";"";"";"";
"19.02.2018 18:00";"-7.0";"750.2";"763.0";"";"79";"Ветер, дующий с юго-востока";"3";"4";"5";"";" ";"";"";"";"-5.1";"";"";"";"";"";"";"-10.0";"Осадков нет";"12";"";"";"";"";
"19.02.2018 15:00";"-5.2";"750.3";"763.0";"";"75";"Ветер, дующий с востоко-юго-востока";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.0";"";"";"";"";"";"";
"19.02.2018 12:00";"-6.2";"750.7";"763.5";"";"81";"Ветер, дующий с юго-юго-востока";"1";"2";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.9";"";"";"";"";"";"";
"19.02.2018 09:00";"-8.8";"750.4";"763.3";"";"89";"Ветер, дующий с юго-запада";"3";"4";"4";"";" ";"";"";"-8.9";"";"";"";"";"";"";"";"-10.3";"";"";"";"";"";"";
"19.02.2018 06:00";"-8.4";"750.6";"763.5";"";"90";"Ветер, дующий с юго-юго-запада";"1";"2";"3";"";" ";"";"";"-8.5";"";"";"";"";"";"";"";"-9.8";"Осадков нет";"12";"";"";"";"";
"19.02.2018 00:00";"-7.4";"752.2";"765.1";"";"90";"Ветер, дующий с востоко-юго-востока";"3";"4";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.8";"";"";"";"";"";"";
"18.02.2018 21:00";"-7.1";"753.2";"766.1";"";"90";"Ветер, дующий с востоко-юго-востока";"3";"5";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.5";"";"";"";"";"";"";
"18.02.2018 09:00";"-7.4";"756.4";"769.3";"";"81";"Ветер, дующий с юго-востока";"4";"6";"";"";" ";"";"";"-7.4";"";"";"";"";"";"";"";"-10.1";"";"";"";"";"";"";
"18.02.2018 06:00";"-6.9";"756.9";"769.8";"";"65";"Ветер, дующий с юго-юго-востока";"4";"6";"";"";" ";"";"";"-6.7";"";"";"";"";"";"";"";"-12.4";"Осадков нет";"12";"";"";"";"";
"18.02.2018 03:00";"-5.4";"757.6";"770.5";"";"65";"Ветер, дующий с юго-юго-востока";"4";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.0";"";"";"";"";"";"";
"18.02.2018 00:00";"-5.4";"758.4";"771.2";"";"69";"Ветер, дующий с юго-юго-востока";"4";"6";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.2";"";"";"";"";"";"";
"17.02.2018 21:00";"-6.3";"759.1";"772.0";"";"86";"Ветер, дующий с юго-юго-востока";"5";"9";"9";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"17.02.2018 18:00";"-6.2";"759.8";"772.8";"";"81";"Ветер, дующий с юго-востока";"4";"";"8";"";" ";"";"";"";"-4.6";"";"";"";"";"";"";"-9.0";"Осадков нет";"12";"";"";"";"";
"17.02.2018 15:00";"-4.7";"760.3";"773.2";"";"65";"Ветер, дующий с юго-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.3";"";"";"";"";"";"";
"17.02.2018 12:00";"-5.6";"761.2";"774.1";"";"62";"Ветер, дующий с юго-юго-востока";"4";"6";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.9";"";"";"";"";"";"";
"17.02.2018 09:00";"-7.0";"762.0";"775.0";"";"71";"Ветер, дующий с юго-востока";"3";"4";"5";"";" ";"";"";"-7.6";"";"";"";"";"";"";"";"-11.5";"";"";"";"";"";"";
"17.02.2018 06:00";"-6.5";"762.4";"775.4";"";"70";"Ветер, дующий с юга";"3";"5";"6";"";" ";"";"";"-6.5";"";"";"";"";"";"";"";"-11.1";"Осадков нет";"12";"";"";"";"";
"17.02.2018 03:00";"-5.5";"763.2";"776.2";"";"73";"Ветер, дующий с юга";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.7";"";"";"";"";"";"";
"17.02.2018 00:00";"-5.0";"763.3";"776.3";"";"70";"Ветер, дующий с юга";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.7";"";"";"";"";"";"";
"16.02.2018 21:00";"-4.6";"763.8";"776.8";"";"69";"Ветер, дующий с юга";"2";"4";"6";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.4";"";"";"";"";"";"";
"16.02.2018 18:00";"-4.9";"764.2";"777.2";"";"70";"Ветер, дующий с юго-юго-востока";"3";"4";"5";"";" ";"";"";"";"-4.9";"";"";"";"";"";"";"-9.5";"Осадков нет";"12";"";"";"";"";
"16.02.2018 12:00";"-7.0";"765.2";"778.3";"";"71";"Ветер, дующий с юго-юго-востока";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.5";"";"";"";"";"";"";
"16.02.2018 09:00";"-11.7";"765.5";"778.8";"";"86";"Ветер, дующий с юго-востока";"2";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.6";"";"";"";"";"";"";
"16.02.2018 06:00";"-13.6";"765.6";"779.0";"";"85";"Ветер, дующий с юго-востока";"1";"2";"2";"";" ";"";"";"-14.9";"";"";"";"";"";"";"";"-15.6";"Осадков нет";"12";"";"";"";"";
"16.02.2018 03:00";"-14.3";"766.1";"779.6";"";"85";"Ветер, дующий с востока";"1";"1";"2";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.3";"";"";"";"";"";"";
"16.02.2018 00:00";"-13.7";"766.2";"779.6";"";"85";"Ветер, дующий с юга";"1";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.7";"";"";"";"";"";"";
"15.02.2018 21:00";"-12.3";"766.1";"779.5";"";"81";"Ветер, дующий с юго-юго-востока";"1";"2";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.9";"";"";"";"";"";"";
"15.02.2018 18:00";"-10.4";"766.2";"779.5";"";"74";"Ветер, дующий с востоко-юго-востока";"3";"4";"4";"";" ";"";"";"";"-7.7";"";"";"";"";"";"";"-14.2";"Осадков нет";"12";"";"";"";"";
"15.02.2018 15:00";"-7.8";"766.2";"779.3";"";"67";"Ветер, дующий с востоко-юго-востока";"2";"3";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.9";"";"";"";"";"";"";
"15.02.2018 12:00";"-11.9";"766.2";"779.5";"";"80";"Ветер, дующий с востока";"2";"2";"2";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.7";"";"";"";"";"";"";
"15.02.2018 09:00";"-16.1";"765.5";"779.0";"";"83";"Ветер, дующий с востока";"1";"1";"3";"";" ";"";"";"-16.8";"";"";"";"";"";"";"";"-18.4";"";"";"";"";"";"";
"15.02.2018 06:00";"-15.3";"764.8";"778.4";"";"84";"Ветер, дующий с востока";"1";"2";"2";"";" ";"";"";"-15.3";"";"";"";"";"";"";"";"-17.4";"Осадков нет";"12";"";"";"";"";
"15.02.2018 03:00";"-14.1";"764.5";"778.0";"";"85";"Ветер, дующий с востока";"1";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-16.1";"";"";"";"";"";"";
"15.02.2018 00:00";"-12.3";"763.9";"777.2";"";"86";"Ветер, дующий с востока";"2";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.2";"";"";"";"";"";"";
"14.02.2018 21:00";"-10.4";"763.5";"776.8";"";"79";"Ветер, дующий с востока";"2";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.4";"";"";"";"";"";"";
"14.02.2018 15:00";"-5.9";"762.7";"775.6";"";"60";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.6";"";"";"";"";"";"";
"14.02.2018 12:00";"-11.3";"762.7";"775.9";"";"82";"Ветер, дующий с востока";"1";"2";"2";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.8";"";"";"";"";"";"";
"14.02.2018 09:00";"-15.1";"761.9";"775.3";"";"83";"Штиль, безветрие";"0";"";"";"";" ";"";"";"-16.1";"";"";"";"";"";"";"";"-17.3";"";"";"";"";"";"";
"14.02.2018 06:00";"-15.2";"761.2";"774.7";"";"85";"Ветер, дующий с северо-востока";"1";"2";"2";"";" ";"";"";"-15.0";"";"";"";"";"";"";"";"-17.2";"Осадков нет";"12";"";"";"";"";
"14.02.2018 03:00";"-13.6";"760.8";"774.1";"";"85";"Ветер, дующий с востока";"1";"1";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-15.6";"";"";"";"";"";"";
"14.02.2018 00:00";"-11.8";"760.5";"773.8";"";"87";"Ветер, дующий с северо-востока";"1";"2";"2";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.6";"";"";"";"";"";"";
"13.02.2018 21:00";"-10.9";"760.0";"773.2";"";"83";"Ветер, дующий с юго-востока";"1";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.2";"";"";"";"";"";"";
"13.02.2018 18:00";"-9.2";"759.4";"772.6";"";"79";"Ветер, дующий с востоко-северо-востока";"2";"3";"3";"";" ";"";"";"";"-8.9";"";"";"";"";"";"";"-12.2";"Осадков нет";"12";"";"";"";"";
"13.02.2018 15:00";"-9.0";"759.4";"772.4";"";"84";"Штиль, безветрие";"0";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"13.02.2018 12:00";"-12.5";"759.4";"772.6";"";"87";"Ветер, дующий с северо-востока";"1";"1";"1";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.3";"";"";"";"";"";"";
"13.02.2018 09:00";"-15.7";"758.9";"772.3";"";"84";"Ветер, дующий с востока";"1";"1";"2";"";" ";"";"";"-15.6";"";"";"";"";"";"";"";"-17.8";"";"";"";"";"";"";
"13.02.2018 06:00";"-13.8";"758.4";"771.7";"";"85";"Ветер, дующий с северо-востока";"1";"2";"";"";" ";"";"";"-13.5";"";"";"";"";"";"";"";"-15.8";"Осадков нет";"12";"";"";"";"";
"13.02.2018 03:00";"-12.3";"758.0";"771.2";"";"87";"Ветер, дующий с востока";"1";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-14.0";"";"";"";"";"";"";
"13.02.2018 00:00";"-10.7";"757.7";"770.8";"";"88";"Ветер, дующий с востока";"1";"1";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.3";"";"";"";"";"";"";
"12.02.2018 21:00";"-8.9";"757.3";"770.3";"";"78";"Ветер, дующий с востоко-юго-востока";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.0";"";"";"";"";"";"";
"12.02.2018 18:00";"-7.2";"757.0";"769.9";"";"76";"Ветер, дующий с востоко-юго-востока";"2";"2";"3";"";" ";"";"";"";"-5.3";"";"";"";"";"";"";"-10.8";"Осадков нет";"12";"";"";"";"";
"12.02.2018 15:00";"-5.3";"756.9";"769.8";"";"65";"Ветер, дующий с юго-востока";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.9";"";"";"";"";"";"";
"12.02.2018 12:00";"-8.4";"757.1";"770.1";"";"67";"Ветер, дующий с северо-востока";"1";"1";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.5";"";"";"";"";"";"";
"12.02.2018 09:00";"-13.0";"757.0";"770.3";"";"82";"Ветер, дующий с востока";"2";"3";"3";"";" ";"";"";"-13.7";"";"";"";"";"";"";"";"-15.4";"";"";"";"";"";"";
"12.02.2018 06:00";"-13.2";"756.6";"769.9";"";"86";"Ветер, дующий с востока";"2";"3";"4";"";" ";"";"";"-13.1";"";"";"";"";"";"";"";"-15.0";"Осадков нет";"12";"";"";"";"";
"12.02.2018 03:00";"-11.6";"756.6";"769.7";"";"84";"Ветер, дующий с востока";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.8";"";"";"";"";"";"";
"12.02.2018 00:00";"-9.5";"756.6";"769.6";"";"77";"Ветер, дующий с востока";"2";"2";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.8";"";"";"";"";"";"";
"11.02.2018 21:00";"-7.8";"756.8";"769.8";"";"68";"Ветер, дующий с востоко-юго-востока";"2";"2";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.7";"";"";"";"";"";"";
"11.02.2018 18:00";"-5.4";"757.3";"770.2";"";"53";"Ветер, дующий с востоко-юго-востока";"3";"4";"4";"";" ";"";"";"";"-3.2";"";"";"";"";"";"";"-13.6";"Осадков нет";"12";"";"";"";"";
"11.02.2018 15:00";"-3.2";"757.5";"770.2";"";"44";"Ветер, дующий с юго-востока";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.8";"";"";"";"";"";"";
"11.02.2018 12:00";"-6.1";"758.4";"771.3";"";"57";"Ветер, дующий с востока";"2";"3";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.3";"";"";"";"";"";"";
"11.02.2018 09:00";"-11.1";"758.5";"771.7";"";"79";"Ветер, дующий с востоко-юго-востока";"1";"2";"3";"";" ";"";"";"-11.5";"";"";"";"";"";"";"";"-14.1";"";"";"";"";"";"";
"11.02.2018 06:00";"-10.8";"758.6";"771.8";"";"79";"Ветер, дующий с востока";"2";"3";"3";"";" ";"";"";"-10.6";"";"";"";"";"";"";"";"-13.7";"Осадков нет";"12";"";"";"";"";
"11.02.2018 03:00";"-9.2";"759.1";"772.1";"";"74";"Ветер, дующий с юго-востока";"2";"2";"2";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.0";"";"";"";"";"";"";
"11.02.2018 00:00";"-9.7";"759.4";"772.6";"";"77";"Ветер, дующий с юго-востока";"1";"2";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.1";"";"";"";"";"";"";
"10.02.2018 21:00";"-9.2";"759.7";"772.8";"";"74";"Ветер, дующий с востоко-юго-востока";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.1";"";"";"";"";"";"";
"10.02.2018 18:00";"-7.3";"759.8";"772.9";"";"66";"Ветер, дующий с востоко-юго-востока";"3";"5";"7";"";" ";"";"";"";"-4.8";"";"";"";"";"";"";"-12.7";"Осадков нет";"12";"";"";"";"";
"10.02.2018 15:00";"-5.1";"760.2";"773.1";"";"55";"Ветер, дующий с востоко-юго-востока";"4";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.9";"";"";"";"";"";"";
"10.02.2018 12:00";"-6.7";"760.6";"773.6";"";"60";"Ветер, дующий с востока";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.2";"";"";"";"";"";"";
"10.02.2018 09:00";"-11.1";"760.6";"773.8";"";"80";"Ветер, дующий с востока";"3";"4";"4";"";" ";"";"";"-11.5";"";"";"";"";"";"";"";"-13.9";"";"";"";"";"";"";
"10.02.2018 06:00";"-11.2";"760.6";"773.8";"";"87";"Ветер, дующий с востока";"3";"4";"4";"";" ";"";"";"-11.5";"";"";"";"";"";"";"";"-13.0";"Осадков нет";"12";"";"";"";"";
"10.02.2018 03:00";"-11.2";"760.9";"774.1";"";"88";"Ветер, дующий с востока";"3";"4";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.8";"";"";"";"";"";"";
"10.02.2018 00:00";"-10.9";"761.1";"774.3";"";"87";"Ветер, дующий с востока";"3";"4";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-12.6";"";"";"";"";"";"";
"09.02.2018 21:00";"-9.3";"761.4";"774.5";"";"82";"Ветер, дующий с востоко-юго-востока";"4";"5";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.9";"";"";"";"";"";"";
"09.02.2018 18:00";"-8.7";"761.8";"774.9";"";"79";"Ветер, дующий с востоко-юго-востока";"4";"5";"7";"";" ";"";"";"";"-7.5";"";"";"";"";"";"";"-11.8";"Осадков нет";"12";"";"";"";"";
"09.02.2018 15:00";"-7.7";"761.6";"774.7";"";"74";"Ветер, дующий с юго-востока";"4";"6";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.5";"";"";"";"";"";"";
"09.02.2018 12:00";"-8.3";"762.0";"775.1";"";"79";"Ветер, дующий с юго-востока";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-11.4";"";"";"";"";"";"";
"09.02.2018 09:00";"-9.3";"762.3";"775.4";"";"86";"Ветер, дующий с юго-востока";"4";"6";"8";"";" ";"";"";"-9.4";"";"";"";"";"";"";"";"-11.2";"";"";"";"";"";"";
"09.02.2018 06:00";"-7.9";"762.4";"775.6";"";"85";"Ветер, дующий с востока";"4";"6";"7";"";" ";"";"";"-7.8";"";"";"";"";"";"";"";"-10.0";"Осадков нет";"12";"";"";"";"";
"09.02.2018 03:00";"-6.8";"763.0";"776.1";"";"87";"Ветер, дующий с востоко-юго-востока";"4";"5";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.6";"";"";"";"";"";"";
"09.02.2018 00:00";"-6.1";"763.5";"776.5";"";"85";"Ветер, дующий с востоко-юго-востока";"3";"5";"7";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"08.02.2018 21:00";"-6.1";"763.9";"777.0";"";"85";"Ветер, дующий с юго-востока";"3";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-8.3";"";"";"";"";"";"";
"08.02.2018 18:00";"-5.4";"764.3";"777.3";"";"86";"Ветер, дующий с юго-востока";"3";"4";"5";"";" ";"";"";"";"-4.1";"";"";"";"";"";"";"-7.4";"Осадков нет";"12";"";"";"";"";
"08.02.2018 15:00";"-4.9";"764.3";"777.2";"";"82";"Ветер, дующий с юго-востока";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"08.02.2018 12:00";"-4.9";"764.5";"777.4";"";"82";"Ветер, дующий с востоко-юго-востока";"1";"2";"3";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.6";"";"";"";"";"";"";
"08.02.2018 09:00";"-6.8";"764.7";"777.7";"";"90";"Ветер, дующий с юго-востока";"1";"2";"4";"";" ";"";"";"-7.1";"";"";"";"";"";"";"";"-8.2";"";"";"";"";"";"";
"08.02.2018 06:00";"-6.7";"764.5";"777.6";"";"91";"Ветер, дующий с востоко-юго-востока";"2";"4";"4";"";" ";"";"";"-6.9";"";"";"";"";"";"";"";"-8.0";"Осадков нет";"12";"";"";"";"";
"08.02.2018 03:00";"-5.6";"764.7";"777.7";"";"91";"Ветер, дующий с востоко-юго-востока";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-6.8";"";"";"";"";"";"";
"08.02.2018 00:00";"-5.8";"764.8";"777.9";"";"91";"Ветер, дующий с востоко-юго-востока";"2";"3";"4";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.0";"";"";"";"";"";"";
"07.02.2018 21:00";"-6.1";"765.4";"778.5";"";"90";"Ветер, дующий с востоко-юго-востока";"3";"4";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-7.5";"";"";"";"";"";"";
"07.02.2018 18:00";"-5.9";"765.4";"778.5";"";"80";"Ветер, дующий с юго-юго-востока";"3";"5";"7";"";" ";"";"";"";"-5.9";"";"";"";"";"";"";"-8.8";"Осадков нет";"12";"";"";"";"";
"07.02.2018 15:00";"-6.3";"764.8";"777.9";"";"78";"Ветер, дующий с юга";"4";"7";"10";"";" ";"";"";"";"";"";"";"";"";"";"";"-9.6";"";"";"";"";"";"";
"07.02.2018 12:00";"-7.9";"764.7";"777.8";"";"82";"Ветер, дующий с юга";"5";"";"";"";" ";"";"";"";"";"";"";"";"";"";"";"-10.5";"";"";"";"";"";"";
"07.02.2018 09:00";"-11.6";"763.7";"777.0";"";"86";"Ветер, дующий с юго-юго-востока";"3";"5";"5";"";" ";"";"";"";"";"";"";"";"";"";"";"-13.5";"";"";"";"";"";"";
